tick,level,single_success,multi_success,energy_transfer_count
0,10,0.000000,0.000000,0
1,10,0.000000,0.000000,0
2,10,0.000000,0.000000,0
3,10,0.000000,0.000000,0
4,10,0.000000,0.000000,0
5,10,0.000000,0.000000,0
6,10,0.000000,0.000000,0
7,10,0.000000,0.000000,0
8,10,0.000000,0.000000,0
9,10,0.000000,0.000000,0
10,10,0.000000,0.000000,0
11,10,0.000000,0.000000,0
12,10,0.000000,0.000000,0
13,10,0.000000,0.000000,0
14,10,0.000000,0.000000,0
15,10,0.000000,0.000000,0
16,10,0.000000,0.000000,0
17,10,0.000000,0.000000,0
18,10,0.000000,0.000000,0
19,10,0.000000,0.000000,0
20,10,0.000000,0.000000,0
21,10,0.000000,0.022222,1
22,10,0.000000,0.043478,1
23,10,0.000000,0.061224,1
24,10,0.000000,0.078431,1
25,10,0.000000,0.094340,1
26,10,0.000000,0.109091,1
27,10,0.000000,0.135593,2
28,10,0.000000,0.161290,2
29,10,0.000000,0.187500,2
30,10,0.000000,0.194030,1
31,10,0.000000,0.197183,1
32,10,0.000000,0.213333,2
33,10,0.000000,0.209877,1
34,10,0.000000,0.220930,2
35,10,0.000000,0.233333,2
36,10,0.000000,0.244681,2
37,10,0.000000,0.255102,2
38,10,0.000000,0.264706,3
39,10,0.000000,0.276190,2
40,10,0.000000,0.284404,2
41,10,0.000000,0.292035,2
42,10,0.000000,0.299145,2
43,10,0.000000,0.300813,2
44,10,0.000000,0.304688,2
45,10,0.000000,0.305970,2
46,10,0.000000,0.311594,2
47,10,0.000000,0.316901,2
48,10,0.000000,0.319728,2
49,10,0.000000,0.324503,2
50,10,0.000000,0.333333,3
51,10,0.000000,0.341615,3
52,10,0.000000,0.349398,3
53,10,0.000000,0.348837,2
54,10,0.000000,0.346369,2
55,10,0.000000,0.347826,2
56,10,0.000000,0.352941,2
57,10,0.000000,0.357895,2
58,10,0.000000,0.362694,2
59,10,0.000000,0.361809,2
60,10,0.000000,0.362745,2
61,10,0.000000,0.361905,2
62,10,0.000000,0.362791,2
