tick,generation,population,births,deaths,average_energy,dna_variance,lineage_count,cooperation_rate,mean_cluster_size,multi_cell_boss_success_rate,energy_transfer_count,signal_synchrony,mutation_count,nonzero_mutation_generations,elite_lineage_survival,adaptation_gain,extinction_events,cdi
0,1,139,19,0,22.9873,0.052459,120,1.0000,1.1583,1.0000,0,0.9804,0,0,1.0000,0.9873,0,0.5369
1,1,152,13,0,23.4842,0.051299,120,1.0000,1.1711,1.0000,0,0.9886,1,1,1.0000,1.4842,0,0.5704
2,2,172,20,0,23.0575,0.050399,120,1.0000,1.2907,1.0000,0,0.9755,4,1,1.0000,1.0575,0,0.5848
3,2,187,15,0,23.6959,0.050895,120,1.0000,1.3102,1.0000,0,0.9716,0,1,1.0000,1.6959,0,0.6151
4,3,210,23,0,23.4279,0.051336,120,1.0000,1.3905,1.0000,0,0.9601,3,1,1.0000,1.4279,0,0.6274
5,3,240,30,0,22.9484,0.050600,120,1.0000,1.5417,1.0000,1,0.9437,2,2,1.0000,0.9484,0,0.6324
6,3,269,29,0,22.8406,0.050243,120,1.0000,1.4758,1.0000,0,0.9074,1,3,1.0000,0.8406,0,0.6407
7,4,305,36,0,22.3611,0.049914,120,1.0000,1.5443,1.0000,2,0.9161,2,3,1.0000,0.3611,0,0.6466
8,4,341,36,0,22.2094,0.050127,120,1.0000,1.5513,1.0000,0,0.9202,2,3,1.0000,0.2094,0,0.6460
9,4,376,35,0,22.3785,0.049332,120,1.0000,1.6383,1.0000,0,0.9054,2,3,1.0000,0.3785,0,0.6488
10,4,414,38,0,22.5803,0.048850,120,1.0000,1.6763,1.0000,1,0.8815,3,3,1.0000,0.5803,0,0.6510
11,5,458,44,0,22.4987,0.048845,120,1.0000,1.7860,1.0000,1,0.8921,3,3,1.0000,0.4987,0,0.6525
12,5,516,58,0,21.9950,0.048098,120,1.0000,1.8798,1.0000,0,0.8707,1,3,1.0000,-0.0050,0,0.6420
13,5,576,60,0,21.7431,0.047908,120,1.0000,1.9167,1.0000,3,0.8661,2,3,1.0000,-0.2569,0,0.6384
14,5,600,60,0,22.5498,0.048285,120,1.0000,1.9067,1.0000,0,0.8721,4,3,1.0000,0.5498,0,0.6592
15,5,600,70,0,23.5646,0.048457,120,1.0000,1.9333,1.0000,1,0.8660,6,4,1.0000,1.5646,0,0.6845
16,5,600,80,0,24.1526,0.048566,120,1.0000,2.0067,1.0000,0,0.8609,5,4,1.0000,2.1526,0,0.6986
17,5,600,67,0,25.0837,0.049206,120,1.0000,1.8800,1.0000,0,0.8583,5,4,1.0000,3.0837,0,0.7195
18,5,600,102,0,25.3422,0.049725,120,1.0000,1.9867,1.0000,5,0.8581,7,5,1.0000,3.3422,0,0.7260
19,5,600,97,0,25.5832,0.050348,118,1.0000,2.0067,1.0000,3,0.8528,9,5,0.9545,3.5832,0,0.7313
20,5,600,68,0,26.3016,0.050605,118,1.0000,1.9167,1.0000,0,0.8581,2,5,0.9545,4.3016,0,0.7442
21,5,600,87,0,26.6112,0.051193,116,1.0000,1.8100,1.0000,1,0.8590,4,5,0.9091,4.6112,0,0.7482
22,5,600,104,0,26.6245,0.052245,115,1.0000,1.8567,1.0000,3,0.8561,11,5,0.9091,4.6245,0,0.7446
23,5,600,85,0,26.9372,0.052837,114,1.0000,1.8933,1.0000,0,0.8588,7,6,0.9091,4.9372,0,0.7497
24,5,600,78,0,27.4192,0.053136,108,1.0000,1.8567,1.0000,1,0.8553,6,6,0.9091,5.4192,0,0.7576
25,5,600,65,0,28.2481,0.053283,104,1.0000,1.7867,1.0000,1,0.8670,2,6,0.9091,6.2481,0,0.7735
26,5,600,96,0,28.1866,0.053797,102,1.0000,1.8600,1.0000,0,0.8593,3,6,0.8636,6.1866,0,0.7705
27,5,600,70,0,28.7999,0.053700,102,1.0000,1.9133,1.0000,0,0.8771,5,6,0.8636,6.7999,0,0.7840
28,5,600,73,0,29.2722,0.053504,100,1.0000,1.9000,1.0000,0,0.8572,0,6,0.8636,7.2722,0,0.7903
29,5,600,67,0,29.9374,0.054006,98,1.0000,1.8600,1.0000,0,0.8374,2,6,0.8636,7.9374,0,0.8001
30,5,600,95,0,29.6942,0.054152,97,1.0000,1.8567,1.0000,0,0.8311,7,6,0.8636,7.6942,0,0.7978
31,5,600,79,0,29.9447,0.054330,93,1.0000,1.8233,1.0000,0,0.8076,5,6,0.8636,7.9447,0,0.8008
32,5,600,73,0,30.1622,0.054325,92,1.0000,1.9600,1.0000,0,0.8108,4,6,0.8636,8.1622,0,0.8075
33,5,600,64,0,30.5964,0.054414,91,1.0000,1.9133,1.0000,0,0.7887,3,6,0.8636,8.5964,0,0.8137
34,5,600,74,0,30.9509,0.054549,89,1.0000,1.8933,1.0000,0,0.7950,4,6,0.8636,8.9509,0,0.8210
35,5,600,84,0,31.0723,0.054731,88,1.0000,1.8567,1.0000,0,0.8203,4,6,0.8182,9.0723,0,0.8272
36,5,600,88,0,30.9566,0.054887,87,1.0000,1.8233,1.0000,0,0.8120,5,6,0.8182,8.9566,0,0.8249
37,5,600,73,0,31.2297,0.055059,85,1.0000,1.8633,1.0000,0,0.8080,4,6,0.8261,9.2297,0,0.8294
38,5,600,90,0,31.0240,0.055178,85,1.0000,1.8733,1.0000,0,0.7976,6,6,0.8261,9.0240,0,0.8240
39,5,600,70,0,31.2691,0.055388,84,1.0000,1.9200,1.0000,0,0.7791,5,6,0.8261,9.2691,0,0.8254
40,5,600,78,0,31.2659,0.055752,82,1.0000,1.8700,1.0000,0,0.7982,7,6,0.8261,9.2659,0,0.8281
41,5,600,81,0,31.2907,0.055960,82,1.0000,1.8700,1.0000,0,0.8152,10,6,0.8261,9.2907,0,0.8315
42,5,600,74,0,31.5783,0.056026,81,1.0000,1.7667,1.0000,0,0.7961,1,6,0.7826,9.5783,0,0.8328
43,5,600,73,0,31.6930,0.056044,81,1.0000,1.7800,1.0000,0,0.7898,4,6,0.7917,9.6930,0,0.8336
44,5,600,71,0,31.9329,0.056123,80,1.0000,1.8000,1.0000,0,0.7923,4,6,0.7917,9.9329,0,0.8375
45,5,600,79,0,31.9735,0.056086,77,1.0000,1.8533,1.0000,0,0.7848,4,6,0.7500,9.9735,0,0.8370
46,5,600,73,0,32.2319,0.056072,76,1.0000,1.8333,1.0000,0,0.7981,8,6,0.7083,10.2319,0,0.8416
47,5,600,81,0,32.2975,0.056210,74,1.0000,1.8200,1.0000,0,0.8031,7,6,0.6667,10.2975,0,0.8429
48,5,600,95,0,31.8503,0.056505,72,1.0000,1.9233,1.0000,0,0.8018,2,6,0.6667,9.8503,0,0.8362
49,5,600,67,0,32.2540,0.056677,70,1.0000,1.9000,1.0000,0,0.7748,8,6,0.6667,10.2540,0,0.8388
50,5,600,78,0,32.2296,0.056682,70,1.0000,1.8733,1.0000,0,0.7905,6,6,0.6800,10.2296,0,0.8409
51,5,600,77,0,32.2211,0.056902,70,1.0000,1.8733,1.0000,0,0.7900,8,6,0.6800,10.2211,0,0.8415
52,5,600,60,0,32.7180,0.057115,70,1.0000,1.8267,1.0000,0,0.7887,2,6,0.6800,10.7180,0,0.8482
53,5,600,78,0,32.7329,0.057195,70,1.0000,1.8300,1.0000,0,0.8008,7,6,0.6800,10.7329,0,0.8509
54,5,600,86,0,32.5520,0.057376,70,1.0000,1.8633,1.0000,0,0.7826,3,6,0.6800,10.5520,0,0.8456
55,6,600,90,0,32.0997,0.057380,70,1.0000,1.9167,1.0000,0,0.7986,4,6,0.6800,10.0997,0,0.8415
56,6,600,68,0,32.3815,0.057453,70,1.0000,1.9133,1.0000,0,0.8083,6,6,0.6800,10.3815,0,0.8472
57,6,600,78,0,32.4047,0.057590,68,1.0000,1.9133,1.0000,0,0.8041,6,6,0.6800,10.4047,0,0.8462
58,6,600,70,0,32.6709,0.057523,67,1.0000,1.7600,1.0000,0,0.7863,2,6,0.6800,10.6709,0,0.8480
59,6,600,79,0,32.6923,0.057450,67,1.0000,1.8233,1.0000,0,0.7871,7,6,0.6800,10.6923,0,0.8486
60,6,600,78,0,32.6133,0.057443,66,1.0000,1.8633,1.0000,0,0.7693,2,6,0.6800,10.6133,0,0.8452
61,6,600,70,0,32.7746,0.057447,65,1.0000,1.8833,1.0000,0,0.7737,6,6,0.6800,10.7746,0,0.8488
62,6,600,68,0,33.0518,0.057624,65,1.0000,1.8833,1.0000,0,0.7782,3,6,0.6800,11.0518,0,0.8531
63,6,600,72,0,33.2749,0.057572,64,1.0000,1.9133,1.0000,0,0.7566,2,6,0.6800,11.2749,0,0.8537
64,6,600,78,0,33.2322,0.057726,63,1.0000,1.9100,1.0000,0,0.7519,4,6,0.6800,11.2322,0,0.8529
65,6,600,84,0,33.1435,0.057770,62,1.0000,1.9267,1.0000,0,0.7680,6,6,0.6800,11.1435,0,0.8546
66,6,600,86,0,32.8590,0.057885,61,1.0000,1.9667,1.0000,0,0.7621,4,6,0.6800,10.8590,0,0.8496
67,6,600,64,0,33.1585,0.057972,60,1.0000,1.9300,1.0000,0,0.8033,6,6,0.6800,11.1585,0,0.8583
68,6,600,79,0,33.0520,0.057906,60,1.0000,1.8900,1.0000,0,0.7650,5,6,0.6800,11.0520,0,0.8519
69,6,600,71,0,33.3555,0.057955,60,1.0000,1.8433,1.0000,0,0.7572,1,6,0.6800,11.3555,0,0.8545
70,6,600,90,0,33.0142,0.058048,60,1.0000,1.9033,1.0000,0,0.7830,1,6,0.6800,11.0142,0,0.8541
71,6,600,80,0,32.8868,0.058039,60,1.0000,1.9233,1.0000,0,0.7911,5,6,0.6800,10.8868,0,0.8537
72,6,600,66,0,33.2102,0.058074,60,1.0000,1.9467,1.0000,0,0.7791,6,6,0.6800,11.2102,0,0.8572
73,6,600,83,0,32.9864,0.058079,60,1.0000,1.8867,1.0000,0,0.8227,7,6,0.6800,10.9864,0,0.8599
74,6,600,72,0,33.3494,0.058044,60,1.0000,1.8967,1.0000,0,0.7738,1,6,0.6800,11.3494,0,0.8593
75,6,600,88,0,33.0332,0.057942,60,1.0000,1.9400,1.0000,0,0.7657,3,6,0.6800,11.0332,0,0.8542
76,6,600,78,0,33.0953,0.057954,59,1.0000,1.9133,1.0000,0,0.8039,4,6,0.6923,11.0953,0,0.8588
77,6,600,68,0,33.3567,0.058112,59,1.0000,1.8767,1.0000,0,0.8152,7,6,0.6923,11.3567,0,0.8633
78,6,600,74,0,33.4036,0.058156,59,1.0000,1.8700,1.0000,0,0.8277,6,6,0.6923,11.4036,0,0.8654
79,6,600,69,0,33.5751,0.058180,59,1.0000,1.8833,1.0000,0,0.7536,6,6,0.6923,11.5751,0,0.8590
80,6,600,88,0,33.1531,0.058108,59,1.0000,1.9233,1.0000,0,0.7749,0,6,0.6923,11.1531,0,0.8570
81,6,600,56,0,33.7456,0.058104,59,1.0000,1.9167,1.0000,0,0.7462,1,6,0.6923,11.7456,0,0.8615
82,6,600,73,0,33.7339,0.058165,59,0.6667,2.0033,1.0000,0,0.8356,6,6,0.7037,11.7339,0,0.7813
