tick,generation,population,births,deaths,average_energy,dna_variance,lineage_count,cooperation_rate,mean_cluster_size,multi_cell_boss_success_rate,energy_transfer_count,signal_synchrony,mutation_count,nonzero_mutation_generations,elite_lineage_survival,adaptation_gain,extinction_events,cdi
0,1,129,9,0,23.0683,0.050780,120,1.0000,1.2481,1.0000,0,1.0000,0,0,1.0000,1.0683,0,0.5424
1,1,136,7,0,22.1422,0.050735,120,1.0000,1.2941,0.5000,0,1.0000,0,0,1.0000,0.1422,0,0.5590
2,1,138,4,2,22.1059,0.051100,119,1.0000,1.3623,0.3333,0,1.0000,0,0,0.9744,0.1059,0,0.5876
3,1,141,4,1,22.1060,0.051132,118,1.0000,1.3262,0.3333,0,0.9919,0,0,0.9487,0.1060,0,0.6145
4,1,141,1,1,22.3755,0.051293,118,1.0000,1.3688,0.2500,0,0.9414,0,0,0.9487,0.3755,0,0.6419
5,1,149,8,0,21.5358,0.051329,118,1.0000,1.2282,0.2000,0,0.9083,0,0,0.9487,-0.4642,0,0.6491
6,1,149,0,0,21.8937,0.051329,118,1.0000,1.2148,0.1667,0,0.8487,0,0,0.9487,-0.1063,0,0.5773
7,1,149,0,0,22.6338,0.051329,118,1.0000,1.2148,0.2857,0,0.9328,0,0,0.9487,0.6338,0,0.6283
8,2,153,4,0,22.8794,0.051245,118,1.0000,1.2353,0.3750,0,0.9452,0,0,0.9487,0.8794,0,0.7333
9,2,160,7,0,22.7439,0.051083,118,1.0000,1.3000,0.4444,0,0.9214,0,0,0.9487,0.7439,0,0.7239
10,2,162,2,0,23.2083,0.050960,118,1.0000,1.2469,0.5000,0,0.9197,1,1,0.9487,1.2083,0,0.7321
11,3,168,6,0,23.2565,0.050455,118,1.0000,1.3095,0.5455,0,0.9709,1,1,0.9487,1.2565,0,0.7358
12,3,177,9,0,22.8339,0.050092,118,1.0000,1.2825,0.5833,0,0.9720,0,1,0.9487,0.8339,0,0.7243
13,3,183,6,0,23.0136,0.049543,118,1.0000,1.3169,0.6154,0,0.9797,0,1,0.9487,1.0136,0,0.7265
14,3,191,8,0,22.8559,0.049148,118,1.0000,1.3455,0.6429,0,0.8913,0,1,0.9487,0.8559,0,0.7100
15,4,199,8,0,22.8045,0.049058,118,1.0000,1.4322,0.6667,0,0.9516,0,1,0.9487,0.8045,0,0.7149
16,4,208,9,0,22.5466,0.049291,118,1.0000,1.4615,0.6875,0,0.9594,0,1,0.9487,0.5466,0,0.7110
17,4,219,11,0,22.1357,0.048900,118,1.0000,1.4018,0.7059,0,0.9310,3,2,0.9487,0.1357,0,0.6997
18,4,228,9,0,22.0573,0.048729,118,1.0000,1.4035,0.7222,0,0.9365,1,3,0.9487,0.0573,0,0.6993
19,4,239,11,0,21.8357,0.048856,118,1.0000,1.5021,0.7368,1,0.9458,3,3,0.9487,-0.1643,0,0.6968
20,4,243,4,0,22.1368,0.048612,118,1.0000,1.5432,0.7500,1,0.9522,0,3,0.9487,0.1368,0,0.7072
21,4,249,6,0,22.2278,0.048474,118,1.0000,1.5542,0.7619,0,0.9556,0,3,0.9487,0.2278,0,0.7119
22,4,256,7,0,22.3003,0.048207,118,1.0000,1.5312,0.7727,0,0.9443,1,3,0.9487,0.3003,0,0.7136
23,4,266,10,0,22.2627,0.047768,118,1.0000,1.5414,0.7826,0,0.9198,1,4,0.9487,0.2627,0,0.7095
24,4,280,14,0,21.9052,0.047236,118,1.0000,1.5500,0.7917,1,0.9248,1,4,0.9487,-0.0948,0,0.7024
25,5,293,13,0,21.5683,0.046877,118,1.0000,1.5392,0.8000,1,0.9298,2,4,0.9487,-0.4317,0,0.6970
26,5,300,7,0,21.5992,0.046733,118,1.0000,1.5333,0.8077,0,0.9193,0,4,0.9487,-0.4008,0,0.6989
27,5,312,12,0,21.3720,0.046395,118,1.0000,1.6218,0.8148,0,0.9070,1,4,0.9487,-0.6280,0,0.6935
28,5,318,6,0,21.5423,0.046030,118,1.0000,1.6352,0.8214,0,0.9040,0,4,0.9487,-0.4577,0,0.6984
29,5,333,15,0,21.2040,0.045584,118,1.0000,1.7267,0.8276,0,0.9092,1,4,0.9487,-0.7960,0,0.6921
30,5,345,12,0,21.1182,0.045453,118,1.0000,1.7130,0.8333,0,0.8936,1,4,0.9487,-0.8818,0,0.6893
31,5,356,11,0,21.0518,0.045579,118,1.0000,1.7360,0.8387,0,0.9006,0,4,0.9487,-0.9482,0,0.6905
32,5,365,9,0,21.0950,0.045624,118,1.0000,1.6795,0.8438,0,0.8809,1,4,0.9487,-0.9050,0,0.6910
33,6,382,17,0,20.7087,0.045445,118,1.0000,1.8010,0.8485,0,0.8804,1,4,0.9487,-1.2913,0,0.6834
34,6,398,16,0,20.5072,0.045278,118,1.0000,1.9045,0.8529,0,0.8860,0,4,0.9487,-1.4928,0,0.6799
35,6,408,10,0,20.6138,0.045121,118,1.0000,1.8824,0.8571,2,0.8993,1,4,0.9487,-1.3862,0,0.6852
36,6,424,16,0,20.4058,0.045075,118,1.0000,1.8962,0.8611,0,0.8901,0,4,0.9487,-1.5942,0,0.6804
37,6,434,10,0,20.5031,0.044990,118,1.0000,1.8940,0.8649,0,0.9110,0,4,0.9487,-1.4969,0,0.6870
38,6,447,13,0,20.3428,0.044799,118,1.0000,1.8188,0.8684,0,0.9046,2,5,0.9487,-1.6572,0,0.6849
39,6,454,7,0,20.5877,0.044864,118,1.0000,1.8238,0.8718,1,0.8450,0,5,0.9487,-1.4123,0,0.6842
40,6,467,13,0,20.5791,0.044615,118,1.0000,1.8351,0.8750,0,0.9052,3,6,0.9487,-1.4209,0,0.6920
41,6,479,12,0,20.6617,0.044794,118,1.0000,1.8977,0.8780,0,0.8842,0,6,0.9487,-1.3383,0,0.6915
42,6,487,8,0,20.8978,0.044643,118,1.0000,1.9281,0.8810,1,0.8967,0,6,0.9487,-1.1022,0,0.6986
43,6,498,11,0,20.9270,0.044376,118,1.0000,1.9277,0.8837,1,0.8427,2,6,0.9487,-1.0730,0,0.6928
44,6,512,14,0,20.8541,0.044156,118,1.0000,1.8672,0.8864,3,0.8349,3,6,0.9487,-1.1459,0,0.6903
45,6,528,16,0,20.7214,0.044231,118,1.0000,1.8939,0.8889,1,0.8389,4,6,0.9487,-1.2786,0,0.6875
46,7,546,18,0,20.5764,0.044092,118,1.0000,1.8938,0.8913,1,0.7993,1,6,0.9487,-1.4236,0,0.6787
47,7,565,19,0,20.4208,0.044200,118,1.0000,1.9381,0.8936,0,0.8263,3,6,0.9487,-1.5792,0,0.6782
48,7,580,15,0,20.4134,0.044083,118,1.0000,1.9931,0.8958,1,0.7849,1,6,0.9487,-1.5866,0,0.6732
49,7,592,12,0,20.4466,0.044110,118,1.0000,2.0372,0.8980,2,0.7982,0,6,0.9487,-1.5534,0,0.6768
50,7,600,10,0,20.6710,0.043971,118,1.0000,2.0567,0.9000,3,0.8034,1,6,0.9487,-1.3290,0,0.6824
51,7,600,18,0,20.9190,0.043839,118,1.0000,2.1067,0.9020,1,0.8022,0,6,0.9487,-1.0810,0,0.6860
