tick,generation,population,births,deaths,average_energy,dna_variance,lineage_count,cooperation_rate,mean_cluster_size,multi_cell_boss_success_rate,energy_transfer_count,signal_synchrony,mutation_count,nonzero_mutation_generations,elite_lineage_survival,adaptation_gain,extinction_events,cdi
0,1,132,12,0,22.5821,0.048169,120,1.0000,1.1970,1.0000,0,1.0000,0,0,1.0000,0.5821,0,0.5357
1,1,133,1,0,22.7272,0.048139,120,1.0000,1.1654,1.0000,0,1.0000,0,0,1.0000,0.7272,0,0.5683
2,1,139,6,0,22.1299,0.048247,120,1.0000,1.3022,1.0000,0,1.0000,0,0,1.0000,0.1299,0,0.5882
3,1,141,2,0,22.4265,0.048085,120,1.0000,1.2411,1.0000,0,1.0000,1,1,1.0000,0.4265,0,0.6215
4,1,148,7,0,21.8778,0.047814,120,1.0000,1.2162,1.0000,0,0.9337,1,1,1.0000,-0.1222,0,0.6306
5,1,149,1,0,22.1924,0.047833,120,1.0000,1.2953,1.0000,0,0.9425,0,1,1.0000,0.1924,0,0.6657
6,1,150,1,0,22.3820,0.048073,120,1.0000,1.2133,1.0000,0,0.9185,0,1,1.0000,0.3820,0,0.6950
7,2,155,6,1,22.2042,0.047667,120,1.0000,1.2194,1.0000,0,0.9367,1,1,1.0000,0.2042,0,0.7182
8,2,157,2,0,22.5239,0.047636,120,1.0000,1.2166,1.0000,0,0.8823,0,1,1.0000,0.5239,0,0.7195
9,2,160,3,0,22.5149,0.047140,120,1.0000,1.1875,1.0000,0,0.9258,0,1,1.0000,0.5149,0,0.7255
10,2,162,2,0,22.8958,0.047036,120,1.0000,1.2346,1.0000,0,0.8909,1,1,1.0000,0.8958,0,0.7283
11,2,167,5,0,22.5832,0.047220,120,1.0000,1.2395,1.0000,0,0.9248,0,1,1.0000,0.5832,0,0.7260
12,2,169,3,1,22.8457,0.046754,120,0.5000,1.2959,1.0000,0,0.9505,1,2,1.0000,0.8457,0,0.5969
13,2,176,7,0,22.5666,0.046442,120,1.0000,1.3523,1.0000,0,0.9157,0,2,1.0000,0.5666,0,0.7213
14,2,180,4,0,22.6011,0.046512,120,1.0000,1.2556,1.0000,0,0.9445,0,2,1.0000,0.6011,0,0.7252
15,2,183,4,1,22.7349,0.046069,119,0.5000,1.2404,1.0000,0,0.9274,0,2,1.0000,0.7349,0,0.5875
16,2,186,3,0,22.8320,0.045906,119,0.5000,1.2473,1.0000,0,0.9288,0,2,1.0000,0.8320,0,0.5901
17,2,191,5,0,22.8925,0.045710,119,0.6667,1.2932,1.0000,0,0.8660,0,2,1.0000,0.8925,0,0.6279
18,2,197,6,0,22.6666,0.045531,119,1.0000,1.2640,1.0000,0,0.7027,0,2,1.0000,0.6666,0,0.6945
19,3,203,6,0,22.5021,0.045282,119,0.5000,1.3054,1.0000,0,0.9092,0,2,1.0000,0.5021,0,0.5797
20,3,208,5,0,22.2942,0.045052,119,1.0000,1.2788,1.0000,1,0.9051,0,2,1.0000,0.2942,0,0.7145
21,3,214,6,0,22.3335,0.044738,119,1.0000,1.3364,1.0000,0,0.8784,1,2,1.0000,0.3335,0,0.7112
22,3,218,4,0,22.5708,0.045043,119,1.0000,1.3211,1.0000,0,0.8822,1,2,1.0000,0.5708,0,0.7162
23,3,228,10,0,22.1983,0.044593,119,1.0000,1.3947,1.0000,0,0.8547,0,2,1.0000,0.1983,0,0.7036
24,3,234,6,0,22.2322,0.044583,119,1.0000,1.3504,1.0000,0,0.8394,1,2,1.0000,0.2322,0,0.7025
25,4,240,6,0,22.1152,0.044211,119,1.0000,1.4083,1.0000,0,0.9023,2,2,1.0000,0.1152,0,0.7097
26,4,245,5,0,22.3250,0.044127,119,1.0000,1.4245,1.0000,0,0.8391,0,2,1.0000,0.3250,0,0.7061
27,4,252,7,0,22.3141,0.043772,119,1.0000,1.3889,1.0000,0,0.8432,0,2,1.0000,0.3141,0,0.7063
28,4,259,7,0,22.2878,0.043951,119,1.0000,1.4093,1.0000,0,0.8234,0,2,1.0000,0.2878,0,0.7034
29,4,264,5,0,22.4139,0.043840,119,1.0000,1.4242,1.0000,0,0.8520,0,2,1.0000,0.4139,0,0.7104
30,4,271,7,0,22.4161,0.043898,119,1.0000,1.3911,1.0000,0,0.8396,1,3,1.0000,0.4161,0,0.7089
31,4,279,8,0,22.2791,0.043736,119,1.0000,1.5161,1.0000,1,0.8534,1,3,1.0000,0.2791,0,0.7084
32,4,288,9,0,22.1688,0.043932,119,1.0000,1.5347,1.0000,0,0.8501,0,3,1.0000,0.1688,0,0.7052
33,4,299,11,0,21.8432,0.043867,119,1.0000,1.5351,1.0000,0,0.8717,0,3,1.0000,-0.1568,0,0.7013
34,4,305,6,0,21.8980,0.043919,119,1.0000,1.5115,1.0000,0,0.8728,0,3,1.0000,-0.1020,0,0.7038
35,4,314,9,0,21.7817,0.043896,119,1.0000,1.5032,1.0000,0,0.8153,1,4,1.0000,-0.2183,0,0.6948
36,4,322,8,0,21.7337,0.043801,119,1.0000,1.4472,1.0000,0,0.8010,0,4,1.0000,-0.2663,0,0.6930
37,4,330,8,0,21.7710,0.043735,119,1.0000,1.4909,1.0000,0,0.7984,0,4,1.0000,-0.2290,0,0.6937
38,4,336,6,0,21.7904,0.043658,119,1.0000,1.5595,1.0000,0,0.8006,0,4,1.0000,-0.2096,0,0.6964
39,4,340,4,0,21.9663,0.043566,119,1.0000,1.6235,1.0000,0,0.8158,0,4,1.0000,-0.0337,0,0.7039
40,4,347,7,0,21.9986,0.043548,119,1.0000,1.6571,1.0000,0,0.7857,0,4,1.0000,-0.0014,0,0.7014
41,4,352,5,0,22.2182,0.043407,119,1.0000,1.6420,1.0000,0,0.7965,2,4,1.0000,0.2182,0,0.7075
42,4,358,6,0,22.3485,0.043450,119,1.0000,1.6983,1.0000,0,0.8315,0,4,1.0000,0.3485,0,0.7143
43,4,368,10,0,22.2703,0.043450,119,1.0000,1.6576,1.0000,0,0.8394,0,4,1.0000,0.2703,0,0.7125
44,4,374,6,0,22.5028,0.043494,119,1.0000,1.5668,1.0000,0,0.8512,0,4,1.0000,0.5028,0,0.7177
45,4,382,8,0,22.5188,0.043512,119,1.0000,1.5916,1.0000,0,0.8280,0,4,1.0000,0.5188,0,0.7144
46,4,389,7,0,22.5444,0.043435,119,1.0000,1.6272,1.0000,1,0.8294,0,4,1.0000,0.5444,0,0.7150
47,5,400,11,0,22.3458,0.043326,119,1.0000,1.6750,1.0000,0,0.8261,1,4,1.0000,0.3458,0,0.7099
48,5,410,10,0,22.3035,0.043308,119,1.0000,1.6829,1.0000,1,0.8071,1,4,1.0000,0.3035,0,0.7061
49,5,419,9,0,22.3022,0.043267,119,1.0000,1.6921,1.0000,0,0.8088,1,4,1.0000,0.3022,0,0.7061
50,5,433,14,0,22.1135,0.043157,119,1.0000,1.8129,1.0000,0,0.7876,2,4,1.0000,0.1135,0,0.6986
51,5,440,7,0,22.2450,0.043023,119,1.0000,1.7909,1.0000,0,0.8132,1,4,1.0000,0.2450,0,0.7052
52,5,446,6,0,22.3568,0.043055,119,1.0000,1.7892,1.0000,0,0.8304,0,4,1.0000,0.3568,0,0.7108
53,6,458,12,0,22.1681,0.043100,119,1.0000,1.7860,1.0000,0,0.7820,0,4,1.0000,0.1681,0,0.7013
54,6,469,11,0,22.1389,0.042873,119,1.0000,1.8401,1.0000,0,0.7967,2,4,1.0000,0.1389,0,0.7025
55,6,482,13,0,21.9681,0.042996,119,1.0000,1.8299,1.0000,0,0.7922,0,4,1.0000,-0.0319,0,0.6989
56,6,488,6,0,22.0637,0.042972,119,1.0000,1.8689,1.0000,0,0.8087,0,4,1.0000,0.0637,0,0.7047
57,6,493,5,0,22.2913,0.042914,119,1.0000,1.8398,1.0000,0,0.8009,0,4,1.0000,0.2913,0,0.7092
58,6,500,7,0,22.4344,0.043110,119,1.0000,1.8640,1.0000,2,0.7906,2,4,1.0000,0.4344,0,0.7111
59,6,509,9,0,22.4879,0.043086,119,1.0000,1.8880,1.0000,1,0.7917,0,4,1.0000,0.4879,0,0.7119
60,6,519,10,0,22.4729,0.043069,119,1.0000,1.9557,1.0000,0,0.7790,0,4,1.0000,0.4729,0,0.7098
61,6,531,12,0,22.3896,0.043010,119,1.0000,1.9567,1.0000,0,0.7880,1,4,1.0000,0.3896,0,0.7090
62,6,541,10,0,22.3838,0.042909,119,1.0000,2.0129,1.0000,1,0.7655,1,5,1.0000,0.3838,0,0.7060
63,6,555,14,0,22.2810,0.043174,119,1.0000,2.0775,1.0000,1,0.7665,0,5,1.0000,0.2810,0,0.7031
64,6,570,15,0,22.0623,0.043070,119,1.0000,2.0351,1.0000,0,0.7606,2,6,1.0000,0.0623,0,0.6976
65,6,581,11,0,22.0806,0.042902,119,1.0000,1.9845,1.0000,1,0.7977,0,6,1.0000,0.0806,0,0.7026
66,6,590,9,0,22.1247,0.043084,119,1.0000,2.0407,1.0000,1,0.8018,1,6,1.0000,0.1247,0,0.7049
67,7,600,15,0,22.0303,0.042918,119,1.0000,2.0567,1.0000,1,0.7652,1,6,1.0000,0.0303,0,0.6979
68,7,600,11,0,22.1501,0.042699,119,1.0000,2.0667,1.0000,0,0.7799,1,6,1.0000,0.1501,0,0.7039
69,7,600,10,0,22.3176,0.042593,119,1.0000,2.0000,1.0000,0,0.7755,2,6,1.0000,0.3176,0,0.7071
70,7,600,12,0,22.5703,0.042668,118,1.0000,2.0067,1.0000,0,0.7753,2,6,1.0000,0.5703,0,0.7119
71,7,600,16,0,22.7405,0.042646,117,1.0000,2.0633,1.0000,2,0.7864,1,6,1.0000,0.7405,0,0.7164
72,7,600,12,0,22.8661,0.042790,116,1.0000,2.0467,1.0000,0,0.8202,2,6,0.9767,0.8661,0,0.7233
73,7,600,14,0,23.0038,0.042494,115,1.0000,2.0333,1.0000,0,0.8357,1,6,0.9535,1.0038,0,0.7271
74,7,600,10,0,23.2087,0.042488,114,1.0000,2.0200,1.0000,1,0.8471,0,6,0.9535,1.2087,0,0.7334
75,7,600,19,0,23.2201,0.042536,114,1.0000,2.0233,1.0000,0,0.8581,1,6,0.9535,1.2201,0,0.7349
76,7,600,7,0,23.5141,0.042566,114,1.0000,2.0100,1.0000,0,0.8604,0,6,0.9535,1.5141,0,0.7407
77,7,600,16,0,23.6465,0.042522,113,1.0000,2.0367,1.0000,0,0.8420,1,6,0.9535,1.6465,0,0.7396
78,7,600,19,0,23.6652,0.042666,112,1.0000,1.9700,1.0000,0,0.8404,2,6,0.9302,1.6652,0,0.7395
79,7,600,15,0,23.7807,0.042707,112,1.0000,2.0500,1.0000,0,0.7978,1,6,0.9302,1.7807,0,0.7364
80,7,600,11,0,23.9978,0.042750,112,1.0000,2.0533,1.0000,0,0.7948,2,6,0.9302,1.9978,0,0.7393
81,7,600,11,0,24.1215,0.042675,111,1.0000,2.0900,1.0000,0,0.7872,1,6,0.9302,2.1215,0,0.7401
82,7,600,24,0,24.0378,0.042596,111,1.0000,2.0533,1.0000,0,0.7692,1,6,0.9302,2.0378,0,0.7360
