tick,death_rate,cdi,hazard_rate,extinction_probability,extinction_events
0,0.000000,0.000000,0.004000,0.003992,0
1,0.003125,0.000000,0.004000,0.003992,0
2,0.000000,0.000000,0.004000,0.003992,0
3,0.011236,0.000000,0.004000,0.003992,0
4,0.007937,0.000000,0.004000,0.003992,0
5,0.007634,0.000000,0.004000,0.003992,0
6,0.004914,0.000000,0.004000,0.003992,0
7,0.002326,0.000000,0.004000,0.003992,0
8,0.000000,0.000000,0.004000,0.003992,0
9,0.000000,0.000000,0.004000,0.003992,0
10,0.000000,0.000000,0.004000,0.003992,0
11,0.005682,0.000000,0.004000,0.003992,0
12,0.000000,0.000000,0.004000,0.003992,0
13,0.003396,0.000000,0.004000,0.003992,0
14,0.001626,0.000000,0.004000,0.003992,0
15,0.000000,0.000000,0.004000,0.003992,0
16,0.002920,0.000000,0.004000,0.003992,0
17,0.001401,0.000000,0.004000,0.003992,0
18,0.001328,0.000000,0.004000,0.003992,0
19,0.000000,0.000000,0.004000,0.003992,0
20,0.003645,0.000000,0.004000,0.003992,0
21,0.000000,0.000063,0.003999,0.003991,0
22,0.002151,0.000059,0.003999,0.003991,0
23,0.000000,0.000053,0.003999,0.003991,0
24,0.002860,0.000054,0.003999,0.003991,0
25,0.000000,0.000051,0.003999,0.003991,0
26,0.000000,0.000044,0.003999,0.003991,0
27,0.001637,0.000097,0.003998,0.003990,0
28,0.000783,0.000076,0.003998,0.003990,0
29,0.000749,0.000090,0.003998,0.003990,0
30,0.000713,0.000038,0.003999,0.003991,0
31,0.000000,0.000035,0.003999,0.003991,0
32,0.000638,0.000072,0.003999,0.003991,0
33,0.001210,0.000030,0.003999,0.003991,0
34,0.000574,0.000059,0.003999,0.003991,0
35,0.000545,0.000057,0.003999,0.003991,0
36,0.000517,0.000055,0.003999,0.003991,0
37,0.000488,0.000048,0.003999,0.003991,0
38,0.001390,0.000068,0.003999,0.003991,0
39,0.000872,0.000039,0.003999,0.003991,0
40,0.000414,0.000044,0.003999,0.003991,0
41,0.001173,0.000041,0.003999,0.003991,0
42,0.000373,0.000038,0.003999,0.003991,0
43,0.000355,0.000037,0.003999,0.003991,0
44,0.000000,0.000034,0.003999,0.003991,0
45,0.000999,0.000034,0.003999,0.003991,0
46,0.000333,0.000037,0.003999,0.003991,0
47,0.000000,0.000038,0.003999,0.003991,0
48,0.000000,0.000039,0.003999,0.003991,0
49,0.000666,0.000040,0.003999,0.003991,0
50,0.000333,0.000060,0.003999,0.003991,0
51,0.000333,0.000062,0.003999,0.003991,0
52,0.000000,0.000060,0.003999,0.003991,0
53,0.000333,0.000042,0.003999,0.003991,0
54,0.000000,0.000041,0.003999,0.003991,0
55,0.000000,0.000044,0.003999,0.003991,0
56,0.000000,0.000042,0.003999,0.003991,0
57,0.000000,0.000039,0.003999,0.003991,0
58,0.000333,0.000040,0.003999,0.003991,0
59,0.000000,0.000041,0.003999,0.003991,0
60,0.000333,0.000043,0.003999,0.003991,0
61,0.000000,0.000038,0.003999,0.003991,0
62,0.000333,0.000040,0.003999,0.003991,0
63,0.000000,0.000039,0.003999,0.003991,0
64,0.000000,0.000041,0.003999,0.003991,0
65,0.000000,0.000042,0.003999,0.003991,0
66,0.000000,0.000063,0.003999,0.003991,0
67,0.000000,0.000060,0.003999,0.003991,0
68,0.000000,0.000040,0.003999,0.003991,0
69,0.000000,0.000041,0.003999,0.003991,0
70,0.000333,0.000040,0.003999,0.003991,0
71,0.000000,0.000020,0.004000,0.003992,0
72,0.000333,0.000018,0.004000,0.003992,0
73,0.000000,0.000039,0.003999,0.003991,0
74,0.000333,0.000041,0.003999,0.003991,0
75,0.000000,0.000042,0.003999,0.003991,0
76,0.000333,0.000040,0.003999,0.003991,0
77,0.000000,0.000039,0.003999,0.003991,0
78,0.000000,0.000040,0.003999,0.003991,0
79,0.000333,0.000038,0.003999,0.003991,0
80,0.000000,0.000039,0.003999,0.003991,0
81,0.000000,0.000040,0.003999,0.003991,0
82,0.000000,0.000041,0.003999,0.003991,0
83,0.000333,0.000040,0.003999,0.003991,0
84,0.000000,0.000063,0.003999,0.003991,0
85,0.000000,0.000041,0.003999,0.003991,0
86,0.000000,0.000041,0.003999,0.003991,0
87,0.000000,0.000060,0.003999,0.003991,0
88,0.000000,0.000062,0.003999,0.003991,0
89,0.000000,0.000058,0.003999,0.003991,0
90,0.000333,0.000039,0.003999,0.003991,0
91,0.000333,0.000060,0.003999,0.003991,0
92,0.000000,0.000040,0.003999,0.003991,0
93,0.000000,0.000061,0.003999,0.003991,0
94,0.000333,0.000038,0.003999,0.003991,0
95,0.000333,0.000057,0.003999,0.003991,0
96,0.000000,0.000058,0.003999,0.003991,0
97,0.000000,0.000036,0.003999,0.003991,0
98,0.000000,0.000040,0.003999,0.003991,0
99,0.000000,0.000039,0.003999,0.003991,0
100,0.000000,0.000040,0.003999,0.003991,0
101,0.000000,0.000041,0.003999,0.003991,0
102,0.000333,0.000040,0.003999,0.003991,0
103,0.000333,0.000038,0.003999,0.003991,0
104,0.000000,0.000040,0.003999,0.003991,0
105,0.000333,0.000055,0.003999,0.003991,0
106,0.000000,0.000037,0.003999,0.003991,0
107,0.000000,0.000061,0.003999,0.003991,0
108,0.000000,0.000037,0.003999,0.003991,0
109,0.000000,0.000059,0.003999,0.003991,0
110,0.000000,0.000055,0.003999,0.003991,0
111,0.000000,0.000058,0.003999,0.003991,0
112,0.000000,0.000061,0.003999,0.003991,0
113,0.000000,0.000040,0.003999,0.003991,0
114,0.000000,0.000058,0.003999,0.003991,0
115,0.000000,0.000057,0.003999,0.003991,0
116,0.000333,0.000037,0.003999,0.003991,0
117,0.000000,0.000058,0.003999,0.003991,0
118,0.000000,0.000057,0.003999,0.003991,0
119,0.000000,0.000038,0.003999,0.003991,0
120,0.000000,0.000056,0.003999,0.003991,0
121,0.000000,0.000054,0.003999,0.003991,0
122,0.000000,0.000053,0.003999,0.003991,0
123,0.000000,0.000055,0.003999,0.003991,0
124,0.000000,0.000038,0.003999,0.003991,0
125,0.000666,0.000058,0.003999,0.003991,0
126,0.000000,0.000039,0.003999,0.003991,0
127,0.000000,0.000038,0.003999,0.003991,0
128,0.000333,0.000037,0.003999,0.003991,0
129,0.000000,0.000038,0.003999,0.003991,0
130,0.000000,0.000040,0.003999,0.003991,0
131,0.000000,0.000037,0.003999,0.003991,0
132,0.000666,0.000037,0.003999,0.003991,0
133,0.000000,0.000039,0.003999,0.003991,0
134,0.000000,0.000039,0.003999,0.003991,0
135,0.000000,0.000038,0.003999,0.003991,0
136,0.000000,0.000037,0.003999,0.003991,0
137,0.000000,0.000037,0.003999,0.003991,0
138,0.000000,0.000037,0.003999,0.003991,0
139,0.000000,0.000052,0.003999,0.003991,0
140,0.000000,0.000058,0.003999,0.003991,0
141,0.000333,0.000057,0.003999,0.003991,0
142,0.000333,0.000039,0.003999,0.003991,0
143,0.000000,0.000054,0.003999,0.003991,0
144,0.000000,0.000058,0.003999,0.003991,0
145,0.000333,0.000040,0.003999,0.003991,0
146,0.000333,0.000039,0.003999,0.003991,0
147,0.000333,0.000039,0.003999,0.003991,0
