tick,signal_diversity,cooperation_density,memory_usage,exploration_rate,cdi
0,0.28260,0.00000,0.17562,0.24183,0.000000
1,0.28261,0.00000,0.34051,0.22884,0.000000
2,0.28603,0.00000,0.46554,0.27492,0.000000
3,0.28606,0.00000,0.54161,0.25852,0.000000
4,0.28857,0.00000,0.59255,0.20800,0.000000
5,0.28847,0.00000,0.65009,0.25385,0.000000
6,0.28836,0.00000,0.70360,0.22469,0.000000
7,0.28844,0.00000,0.72738,0.23776,0.000000
8,0.28704,0.00000,0.75211,0.24945,0.000000
9,0.28658,0.00000,0.77081,0.24160,0.000000
10,0.28433,0.00000,0.78219,0.22863,0.000000
11,0.28321,0.00000,0.79562,0.25714,0.000000
12,0.28126,0.00000,0.79518,0.19141,0.000000
13,0.27946,0.00000,0.80345,0.22998,0.000000
14,0.27922,0.00000,0.81243,0.26059,0.000000
15,0.28233,0.00000,0.81303,0.22531,0.000000
16,0.28494,0.00000,0.81006,0.24890,0.000000
17,0.28734,0.00000,0.81547,0.25526,0.000000
18,0.28918,0.00000,0.81115,0.23138,0.000000
19,0.29186,0.00000,0.81834,0.25223,0.000000
20,0.29255,0.00000,0.82106,0.23415,0.000000
21,0.29442,0.00115,0.81710,0.22696,0.000063
22,0.29391,0.00108,0.80374,0.23060,0.000059
23,0.29257,0.00101,0.79955,0.22290,0.000053
24,0.29125,0.00096,0.79874,0.24187,0.000054
25,0.28973,0.00091,0.81232,0.23723,0.000051
26,0.28938,0.00086,0.81061,0.21570,0.000044
27,0.28632,0.00164,0.80946,0.25574,0.000097
28,0.28531,0.00157,0.81524,0.20925,0.000076
29,0.28454,0.00150,0.82088,0.25637,0.000090
30,0.28398,0.00071,0.82266,0.22769,0.000038
31,0.28505,0.00068,0.81913,0.22245,0.000035
32,0.28391,0.00128,0.81361,0.24457,0.000072
33,0.28517,0.00061,0.81368,0.21563,0.000030
34,0.28538,0.00115,0.81354,0.22184,0.000059
35,0.28594,0.00109,0.81302,0.22410,0.000057
36,0.28613,0.00103,0.81333,0.22866,0.000055
37,0.28514,0.00098,0.80946,0.21425,0.000048
38,0.28607,0.00139,0.81318,0.21011,0.000068
39,0.28660,0.00087,0.80833,0.19415,0.000039
40,0.28564,0.00083,0.81073,0.22838,0.000044
41,0.28607,0.00078,0.81105,0.22701,0.000041
42,0.28594,0.00075,0.81917,0.21882,0.000038
43,0.28602,0.00071,0.82304,0.22435,0.000037
44,0.28734,0.00068,0.82767,0.21049,0.000034
45,0.28753,0.00067,0.85056,0.20800,0.000034
46,0.28819,0.00067,0.87876,0.21900,0.000037
47,0.28875,0.00067,0.90144,0.22100,0.000038
48,0.28986,0.00067,0.91797,0.22200,0.000039
49,0.29026,0.00067,0.93003,0.21967,0.000040
50,0.29075,0.00100,0.94168,0.21933,0.000060
51,0.29157,0.00100,0.94994,0.22533,0.000062
52,0.29212,0.00100,0.95646,0.21633,0.000060
53,0.29231,0.00067,0.95995,0.22367,0.000042
54,0.29254,0.00067,0.96250,0.21733,0.000041
55,0.29293,0.00067,0.96538,0.23233,0.000044
56,0.29284,0.00067,0.96699,0.22267,0.000042
57,0.29321,0.00067,0.96617,0.20767,0.000039
58,0.29292,0.00067,0.96480,0.21067,0.000040
59,0.29286,0.00067,0.96449,0.21700,0.000041
60,0.29160,0.00067,0.96420,0.22933,0.000043
61,0.29031,0.00067,0.96461,0.20533,0.000038
62,0.29003,0.00067,0.96326,0.21433,0.000040
63,0.28924,0.00067,0.96204,0.20767,0.000039
64,0.28814,0.00067,0.96261,0.21933,0.000041
65,0.28750,0.00067,0.96070,0.22900,0.000042
66,0.28729,0.00100,0.96152,0.22667,0.000063
67,0.28775,0.00100,0.96191,0.21667,0.000060
68,0.28812,0.00067,0.96222,0.21467,0.000040
69,0.28840,0.00067,0.95942,0.21967,0.000041
70,0.28823,0.00067,0.95937,0.21733,0.000040
71,0.28803,0.00033,0.96047,0.21867,0.000020
72,0.28790,0.00033,0.96064,0.19867,0.000018
73,0.28798,0.00067,0.96085,0.21233,0.000039
74,0.28820,0.00067,0.96165,0.22000,0.000041
75,0.28823,0.00067,0.96004,0.22833,0.000042
76,0.28831,0.00067,0.96147,0.21633,0.000040
77,0.28851,0.00067,0.95973,0.21300,0.000039
78,0.28752,0.00067,0.95937,0.22000,0.000040
79,0.28582,0.00067,0.96086,0.20700,0.000038
80,0.28484,0.00067,0.96058,0.21567,0.000039
81,0.28532,0.00067,0.96013,0.21833,0.000040
82,0.28640,0.00067,0.95963,0.22333,0.000041
83,0.28755,0.00067,0.96016,0.21567,0.000040
84,0.28910,0.00100,0.96172,0.22533,0.000063
85,0.28937,0.00067,0.96297,0.22000,0.000041
86,0.29015,0.00067,0.96305,0.22133,0.000041
87,0.29030,0.00100,0.96276,0.21467,0.000060
88,0.29056,0.00100,0.96090,0.22333,0.000062
89,0.29006,0.00100,0.96025,0.20933,0.000058
90,0.29014,0.00067,0.96040,0.21200,0.000039
91,0.29000,0.00100,0.95847,0.21633,0.000060
92,0.28989,0.00067,0.95917,0.21467,0.000040
93,0.29016,0.00100,0.96110,0.22000,0.000061
94,0.28926,0.00067,0.96391,0.20533,0.000038
95,0.28884,0.00100,0.96068,0.20400,0.000057
96,0.28824,0.00100,0.95910,0.21100,0.000058
97,0.28750,0.00067,0.95876,0.19833,0.000036
98,0.28783,0.00067,0.95854,0.21833,0.000040
99,0.28771,0.00067,0.95827,0.21400,0.000039
100,0.28751,0.00067,0.95838,0.21800,0.000040
101,0.28776,0.00067,0.95751,0.22167,0.000041
102,0.28809,0.00067,0.96048,0.21667,0.000040
103,0.28853,0.00067,0.96227,0.20700,0.000038
104,0.28897,0.00067,0.96237,0.21400,0.000040
105,0.28946,0.00100,0.96171,0.19900,0.000055
106,0.28985,0.00067,0.96197,0.19867,0.000037
107,0.29080,0.00100,0.96069,0.21700,0.000061
108,0.29038,0.00067,0.96123,0.20133,0.000037
109,0.29084,0.00100,0.96290,0.21133,0.000059
110,0.29111,0.00100,0.96295,0.19767,0.000055
111,0.29129,0.00100,0.96304,0.20800,0.000058
112,0.29128,0.00100,0.96257,0.21600,0.000061
113,0.29060,0.00067,0.96263,0.21567,0.000040
114,0.28950,0.00100,0.96310,0.20833,0.000058
115,0.28864,0.00100,0.96319,0.20567,0.000057
116,0.28767,0.00067,0.96171,0.20200,0.000037
117,0.28715,0.00100,0.96055,0.20900,0.000058
118,0.28653,0.00100,0.96031,0.20800,0.000057
119,0.28536,0.00067,0.96063,0.20700,0.000038
120,0.28473,0.00100,0.95774,0.20467,0.000056
121,0.28504,0.00100,0.95634,0.19833,0.000054
122,0.28550,0.00100,0.95393,0.19567,0.000053
123,0.28600,0.00100,0.95243,0.20067,0.000055
124,0.28612,0.00067,0.95258,0.20700,0.000038
125,0.28692,0.00100,0.95388,0.21333,0.000058
126,0.28900,0.00067,0.95475,0.21300,0.000039
127,0.29054,0.00067,0.95525,0.20600,0.000038
128,0.29165,0.00067,0.95758,0.19667,0.000037
129,0.29270,0.00067,0.95814,0.20200,0.000038
130,0.29273,0.00067,0.95983,0.21200,0.000040
131,0.29285,0.00067,0.95811,0.19800,0.000037
132,0.29267,0.00067,0.95448,0.20000,0.000037
133,0.29318,0.00067,0.95416,0.20733,0.000039
134,0.29301,0.00067,0.95352,0.20967,0.000039
135,0.29165,0.00067,0.95236,0.20633,0.000038
136,0.29056,0.00067,0.95506,0.19733,0.000037
137,0.28935,0.00067,0.95650,0.19867,0.000037
138,0.28834,0.00067,0.95740,0.20333,0.000037
139,0.28760,0.00100,0.95726,0.18967,0.000052
140,0.28714,0.00100,0.95650,0.21300,0.000058
141,0.28772,0.00100,0.95863,0.20500,0.000057
142,0.28864,0.00067,0.96033,0.21333,0.000039
143,0.28999,0.00100,0.96112,0.19433,0.000054
144,0.29096,0.00100,0.95996,0.20933,0.000058
145,0.29224,0.00067,0.95873,0.21400,0.000040
146,0.29246,0.00067,0.96052,0.20700,0.000039
147,0.29296,0.00067,0.96198,0.20533,0.000039
148,0.29334,0.00033,0.96104,0.21067,0.000020
149,0.29288,0.00067,0.96191,0.20067,0.000038
150,0.29182,0.00033,0.96201,0.20633,0.000019
151,0.29035,0.00033,0.96122,0.19500,0.000018
152,0.28920,0.00033,0.96067,0.19900,0.000018
153,0.28810,0.00067,0.96126,0.18733,0.000035
154,0.28763,0.00067,0.95925,0.20233,0.000037
