tick,generation,population,births,deaths,average_energy,dna_variance,lineage_count,cooperation_rate,mean_cluster_size,multi_cell_boss_success_rate,energy_transfer_count,signal_synchrony,mutation_count,nonzero_mutation_generations,elite_lineage_survival,adaptation_gain,extinction_events,cdi
0,1,142,22,0,20.9790,0.048978,120,1.0000,1.2394,0.0000,0,1.0000,2,1,0.0000,-1.0210,0,0.5136
1,1,149,7,0,21.1759,0.049011,120,1.0000,1.2819,0.0000,0,1.0000,0,1,0.0000,-0.8241,0,0.5446
2,1,153,5,1,21.7508,0.049480,119,1.0000,1.3137,0.0000,0,1.0000,0,1,0.0000,-0.2492,0,0.5802
3,1,161,8,0,21.8221,0.049253,119,1.0000,1.3230,0.0000,0,1.0000,0,1,0.0000,-0.1779,0,0.6067
4,2,168,8,1,22.0653,0.049777,119,1.0000,1.2857,0.0000,1,0.9457,1,2,0.0000,0.0653,0,0.6274
5,2,174,6,0,22.3285,0.049482,119,1.0000,1.3103,0.0000,1,0.9514,0,2,0.0000,0.3285,0,0.6570
6,2,186,12,0,22.1143,0.048996,119,1.0000,1.3118,0.0000,0,0.9736,1,2,0.0000,0.1143,0,0.6761
7,2,192,6,0,22.6016,0.048798,119,0.5000,1.2917,0.0000,0,0.9868,0,2,0.0000,0.6016,0,0.5710
8,2,205,14,1,22.3869,0.048235,118,0.5000,1.3415,0.0000,0,0.9328,1,2,0.0000,0.3869,0,0.5588
9,2,218,13,0,22.1620,0.048189,118,0.5000,1.4954,0.0000,1,0.9621,1,2,0.0000,0.1620,0,0.5572
10,3,227,10,1,22.3416,0.048391,118,0.5000,1.3877,0.0000,0,0.9401,1,2,0.0000,0.3416,0,0.5577
11,3,245,18,0,21.6917,0.048798,118,1.0000,1.5469,0.0000,0,0.9740,2,2,0.0000,-0.3083,0,0.6865
12,3,258,13,0,21.7779,0.048867,118,1.0000,1.6124,0.0000,0,0.9528,1,2,0.0000,-0.2221,0,0.6857
13,3,274,17,1,21.6964,0.048564,117,1.0000,1.6642,0.0000,0,0.9521,1,2,0.0000,-0.3036,0,0.6828
14,3,296,22,0,21.3670,0.048548,117,1.0000,1.7703,0.0000,0,0.8296,2,2,0.0000,-0.6330,0,0.6600
15,3,317,21,0,21.2125,0.049083,117,1.0000,1.8454,0.0000,0,0.8713,1,2,0.0000,-0.7875,0,0.6619
16,4,331,14,0,21.6681,0.049092,117,1.0000,1.8822,0.1667,0,0.8307,3,3,0.0000,-0.3319,0,0.6666
17,4,351,20,0,21.7987,0.049119,117,1.0000,1.8034,0.2857,1,0.8392,1,3,0.0000,-0.2013,0,0.6698
18,4,378,27,0,21.5198,0.049016,117,1.0000,1.8042,0.3750,1,0.8194,2,3,0.0000,-0.4802,0,0.6612
19,4,405,27,0,21.3108,0.049025,117,1.0000,1.9284,0.4444,0,0.8406,2,4,0.0000,-0.6892,0,0.6604
20,4,435,30,0,21.0492,0.048663,117,1.0000,1.9057,0.5000,0,0.8751,3,4,0.0000,-0.9508,0,0.6599
21,4,457,22,0,21.2227,0.048794,117,1.0000,1.9978,0.5455,0,0.8682,1,4,0.0000,-0.7773,0,0.6644
22,4,486,29,0,21.1544,0.049023,117,1.0000,2.0576,0.5833,0,0.8771,3,4,0.0000,-0.8456,0,0.6650
23,5,516,30,0,21.1839,0.049477,117,1.0000,2.1124,0.6154,0,0.8737,6,4,0.0000,-0.8161,0,0.6654
24,5,547,31,0,21.2812,0.049526,117,1.0000,2.2431,0.6429,1,0.8665,3,4,0.0000,-0.7188,0,0.6662
25,5,587,40,0,21.0122,0.049917,117,1.0000,2.2164,0.6667,0,0.8240,4,4,0.0000,-0.9878,0,0.6560
26,5,600,29,0,21.4489,0.049705,117,1.0000,2.1267,0.6875,4,0.7891,5,4,0.0000,-0.5511,0,0.6646
27,5,600,50,0,21.7168,0.049694,117,1.0000,2.1067,0.7059,1,0.8396,2,4,0.0000,-0.2832,0,0.6824
28,5,600,43,0,22.1606,0.049716,117,1.0000,2.0967,0.7222,0,0.8150,2,4,0.0000,0.1606,0,0.6924
29,5,600,48,0,22.4723,0.049822,117,1.0000,2.1567,0.7368,0,0.8190,3,4,0.0000,0.4723,0,0.7016
30,5,600,40,0,22.9894,0.049601,117,1.0000,2.0900,0.7500,0,0.8206,2,4,0.0000,0.9894,0,0.7136
31,5,600,55,0,23.1289,0.049546,117,1.0000,2.0200,0.7619,0,0.8090,2,4,0.0000,1.1289,0,0.7174
32,5,600,46,0,23.5102,0.049834,117,1.0000,2.0333,0.7727,1,0.8050,3,4,0.0000,1.5102,0,0.7237
33,5,600,50,0,23.7378,0.049843,116,1.0000,1.9900,0.7826,0,0.8001,0,4,0.0000,1.7378,0,0.7270
34,5,600,53,0,23.8002,0.049749,116,1.0000,2.0433,0.7917,1,0.7960,4,4,0.0000,1.8002,0,0.7279
35,5,600,49,0,24.0788,0.049850,116,1.0000,2.0200,0.8000,1,0.8139,2,4,0.0000,2.0788,0,0.7348
36,5,600,52,0,24.1647,0.049722,116,1.0000,1.9700,0.8077,1,0.8166,1,4,0.0000,2.1647,0,0.7369
37,5,600,52,0,24.3374,0.049897,116,1.0000,1.9567,0.8148,2,0.8214,4,5,0.0000,2.3374,0,0.7398
38,5,600,59,0,24.3744,0.050172,116,1.0000,1.9067,0.8214,1,0.8139,3,5,0.0000,2.3744,0,0.7372
39,5,600,53,0,24.6058,0.050352,115,1.0000,1.9867,0.8276,0,0.8318,2,6,0.0000,2.6058,0,0.7432
40,5,600,57,0,24.6612,0.050120,115,1.0000,1.9367,0.8333,0,0.8373,5,6,0.0000,2.6612,0,0.7444
41,5,600,45,0,24.9716,0.049888,115,1.0000,1.9567,0.8387,1,0.8271,3,6,0.0000,2.9716,0,0.7482
42,5,600,47,0,25.1890,0.050144,115,1.0000,1.8600,0.8438,3,0.8352,4,6,0.0000,3.1890,0,0.7528
43,6,600,57,0,25.2418,0.049924,115,1.0000,1.9200,0.8485,0,0.8332,5,6,0.0000,3.2418,0,0.7512
44,6,600,54,0,25.3524,0.049943,115,1.0000,1.9733,0.8529,0,0.8194,2,6,0.0000,3.3524,0,0.7511
