tick,generation,population,births,deaths,average_energy,dna_variance,lineage_count,cooperation_rate,mean_cluster_size,multi_cell_boss_success_rate,energy_transfer_count,signal_synchrony,mutation_count,nonzero_mutation_generations,elite_lineage_survival,adaptation_gain,extinction_events,cdi
0,1,137,17,0,22.1103,0.051891,120,1.0000,1.2482,1.0000,0,1.0000,5,1,1.0000,0.1103,0,0.5288
1,1,141,4,0,22.3388,0.051690,120,1.0000,1.2553,1.0000,0,0.8475,0,1,1.0000,0.3388,0,0.5421
2,1,148,7,0,22.1074,0.051550,120,1.0000,1.2432,1.0000,0,0.9170,3,1,1.0000,0.1074,0,0.5750
3,2,151,3,0,22.4399,0.051309,120,1.0000,1.2517,1.0000,0,0.8193,0,1,1.0000,0.4399,0,0.5959
4,2,156,5,0,22.5541,0.051753,120,1.0000,1.2051,1.0000,0,0.8364,0,1,1.0000,0.5541,0,0.6261
5,2,161,5,0,22.7839,0.052446,120,1.0000,1.3106,1.0000,0,0.8805,1,1,1.0000,0.7839,0,0.6604
6,3,168,7,0,22.8161,0.052352,120,1.0000,1.4286,1.0000,0,0.8867,2,2,1.0000,0.8161,0,0.6847
7,3,174,6,0,22.9992,0.051976,120,1.0000,1.3793,1.0000,0,0.8773,1,2,1.0000,0.9992,0,0.7094
8,3,185,11,0,22.5511,0.051785,120,1.0000,1.5081,1.0000,0,0.8341,0,2,1.0000,0.5511,0,0.6949
9,3,192,7,0,22.5898,0.052083,120,1.0000,1.4375,1.0000,0,0.8278,2,3,1.0000,0.5898,0,0.6948
10,3,200,8,0,22.6170,0.051680,120,1.0000,1.3900,1.0000,0,0.8021,2,3,1.0000,0.6170,0,0.6916
11,3,209,9,0,22.6406,0.051826,120,0.6667,1.4402,1.0000,0,0.8679,3,3,1.0000,0.6406,0,0.6072
12,4,222,13,0,22.2681,0.051420,120,1.0000,1.5045,1.0000,0,0.8748,0,3,1.0000,0.2681,0,0.6911
13,4,232,10,0,22.3131,0.050733,120,1.0000,1.5690,1.0000,0,0.8886,0,3,1.0000,0.3131,0,0.6935
14,4,246,14,0,22.0521,0.051516,120,1.0000,1.5203,1.0000,0,0.8817,0,3,1.0000,0.0521,0,0.6868
15,4,258,12,0,21.8865,0.051360,120,1.0000,1.5504,1.0000,1,0.8777,2,3,1.0000,-0.1135,0,0.6844
16,4,275,17,0,21.3644,0.051376,120,1.0000,1.6109,1.0000,0,0.8815,1,4,1.0000,-0.6356,0,0.6754
17,4,284,9,0,21.4652,0.051406,120,1.0000,1.5915,1.0000,0,0.8832,0,4,1.0000,-0.5348,0,0.6805
18,4,294,10,0,21.6294,0.051203,120,1.0000,1.5918,1.0000,0,0.8865,0,4,1.0000,-0.3706,0,0.6859
19,5,303,9,0,21.8269,0.051153,120,1.0000,1.7591,1.0000,0,0.8739,1,4,1.0000,-0.1731,0,0.6904
20,5,314,11,0,21.9102,0.050977,120,1.0000,1.5860,1.0000,1,0.8706,0,4,1.0000,-0.0898,0,0.6931
21,5,328,14,0,21.9022,0.051326,120,1.0000,1.5610,1.0000,0,0.8788,2,4,1.0000,-0.0978,0,0.6938
22,5,343,15,0,21.8010,0.051224,120,1.0000,1.6764,1.0000,0,0.8843,1,4,1.0000,-0.1990,0,0.6928
23,5,355,12,0,21.8830,0.051176,120,1.0000,1.6986,1.0000,0,0.8848,0,4,1.0000,-0.1170,0,0.6953
24,5,372,17,0,21.6936,0.051231,120,1.0000,1.7742,1.0000,0,0.8673,3,4,1.0000,-0.3064,0,0.6893
25,5,392,20,0,21.4522,0.050926,120,1.0000,1.9133,1.0000,0,0.8568,0,4,1.0000,-0.5478,0,0.6820
26,5,409,17,0,21.3669,0.050690,120,1.0000,1.8313,1.0000,0,0.8417,2,4,1.0000,-0.6331,0,0.6787
