tick,generation,population,births,deaths,average_energy,dna_variance,lineage_count,cooperation_rate,mean_cluster_size,multi_cell_boss_success_rate,energy_transfer_count,signal_synchrony,mutation_count,nonzero_mutation_generations,elite_lineage_survival,adaptation_gain,extinction_events,cdi
0,1,132,12,0,21.6011,0.046012,120,1.0000,1.1970,0.0000,0,1.0000,0,0,1.0000,-0.3989,0,0.5234
1,1,132,1,1,21.5190,0.046029,119,0.5000,1.2273,0.0000,0,1.0000,0,0,1.0000,-0.4810,0,0.4157
2,2,137,5,0,20.7045,0.046455,119,0.5000,1.2920,0.0000,0,1.0000,0,0,1.0000,-1.2955,0,0.4334
3,2,136,0,1,20.5166,0.046740,118,0.5000,1.2059,0.0000,0,1.0000,0,0,1.0000,-1.4834,0,0.4623
4,2,137,1,0,20.0113,0.046733,118,1.0000,1.2044,0.0000,0,0.9429,0,0,1.0000,-1.9887,0,0.6165
5,2,138,2,1,19.7605,0.047037,117,0.5000,1.2319,0.0000,0,0.9732,0,0,0.9744,-2.2395,0,0.5082
6,2,141,3,0,19.1502,0.047127,117,1.0000,1.1844,0.0000,0,0.9368,0,0,0.9744,-2.8498,0,0.6604
7,2,142,1,0,18.8510,0.047497,117,1.0000,1.1690,0.0000,0,0.8735,0,0,0.9744,-3.1490,0,0.6783
8,2,144,2,0,18.3909,0.047916,117,1.0000,1.2361,0.0000,0,0.8150,0,0,0.9744,-3.6091,0,0.6674
9,2,145,1,0,18.1992,0.048273,117,0.5000,1.2207,0.0000,0,0.9558,0,0,0.9744,-3.8008,0,0.5468
10,3,147,2,0,17.8161,0.048612,117,0.5000,1.1769,0.0000,0,0.9337,0,0,0.9744,-4.1839,0,0.5392
11,3,149,2,0,17.3966,0.048822,117,0.5000,1.3087,0.0000,0,0.9492,0,0,0.9744,-4.6034,0,0.5352
12,3,151,2,0,17.0451,0.048628,117,0.5000,1.2914,0.0000,0,0.8998,0,0,0.9744,-4.9549,0,0.5244
13,3,151,1,1,16.7470,0.048408,116,0.5000,1.2649,0.0000,0,0.9616,0,0,0.9744,-5.2530,0,0.5298
14,3,153,2,0,16.4282,0.048692,116,1.0000,1.3529,0.0000,0,0.9384,1,1,0.9744,-5.5718,0,0.6602
15,3,157,4,0,15.9857,0.049210,116,1.0000,1.4076,0.0000,0,1.0000,0,1,0.9744,-6.0143,0,0.6589
16,3,161,4,0,15.1744,0.050119,116,1.0000,1.3851,0.0000,0,0.9785,0,1,0.9744,-6.8256,0,0.6434
17,3,162,2,1,15.0190,0.049992,116,1.0000,1.4444,0.0000,0,0.9379,1,1,0.9744,-6.9810,0,0.6368
18,3,161,1,2,14.9150,0.049795,116,1.0000,1.4099,0.0000,0,0.9397,0,1,0.9744,-7.0850,0,0.6378
19,3,158,0,3,15.0512,0.050089,115,1.0000,1.2658,0.0000,0,0.9274,0,1,0.9744,-6.9488,0,0.6412
20,3,160,3,1,14.7584,0.050326,115,1.0000,1.2875,0.0000,0,0.9399,0,1,0.9744,-7.2416,0,0.6377
21,3,160,0,0,14.6757,0.050326,115,1.0000,1.3875,0.0000,0,0.9319,0,1,0.9744,-7.3243,0,0.5390
22,3,160,3,3,14.3888,0.050931,114,1.0000,1.4750,0.0000,0,0.9458,0,1,0.9744,-7.6112,0,0.6356
23,3,161,1,0,13.9048,0.050801,114,1.0000,1.4720,0.0000,1,0.8707,0,1,0.9744,-8.0952,0,0.6220
24,3,160,1,2,13.9141,0.050761,113,1.0000,1.4500,0.0000,0,0.8675,0,1,0.9744,-8.0859,0,0.6228
25,3,160,2,2,13.5984,0.051158,112,1.0000,1.4875,0.0000,0,0.8750,0,1,0.9744,-8.4016,0,0.6188
26,3,159,1,2,13.2797,0.051303,111,1.0000,1.5157,0.0000,0,0.8757,0,1,0.9744,-8.7203,0,0.6154
27,3,157,0,2,13.1695,0.051572,110,1.0000,1.5096,0.0000,0,0.8739,0,1,0.9744,-8.8305,0,0.6159
28,3,158,2,1,12.6586,0.051473,109,1.0000,1.4810,0.0000,0,0.8553,1,2,0.9744,-9.3414,0,0.6062
29,3,157,1,2,12.3140,0.051283,107,1.0000,1.4459,0.0000,0,0.9045,0,2,0.9487,-9.6860,0,0.6084
30,3,154,0,3,12.0926,0.051496,104,1.0000,1.5195,0.0000,0,0.8524,0,2,0.9231,-9.9074,0,0.6012
31,3,152,1,3,11.8954,0.051316,101,1.0000,1.3684,0.0000,0,0.8766,0,2,0.8974,-10.1046,0,0.6017
32,3,150,1,3,11.5994,0.051165,99,1.0000,1.3867,0.0000,0,0.9159,0,2,0.8718,-10.4006,0,0.6028
33,4,149,2,3,11.2877,0.050929,97,1.0000,1.2953,0.0000,0,0.9633,0,2,0.8718,-10.7123,0,0.6031
34,4,148,0,1,11.0389,0.050997,96,0.0000,1.3243,0.0000,0,0.9455,0,2,0.8718,-10.9611,0,0.3244
35,4,145,1,4,10.8859,0.050608,94,1.0000,1.4276,0.0000,0,0.9629,0,2,0.8718,-11.1141,0,0.5993
36,4,142,1,4,10.6376,0.049611,91,0.0000,1.3662,0.0000,0,0.9186,0,2,0.8718,-11.3624,0,0.3155
37,4,138,0,4,10.3873,0.048721,90,0.0000,1.2319,0.0000,0,0.9169,0,2,0.8718,-11.6127,0,0.3136
38,4,135,0,3,10.3529,0.048829,88,1.0000,1.2222,0.0000,0,0.7844,0,2,0.8205,-11.6471,0,0.5728
39,4,133,0,2,10.3463,0.048449,87,0.5000,1.2857,0.0000,0,0.8873,0,2,0.8205,-11.6537,0,0.4494
40,5,131,1,3,10.4438,0.048069,84,1.0000,1.2901,0.0000,0,0.8864,0,2,0.7949,-11.5562,0,0.5873
41,5,127,0,4,10.7549,0.047711,80,0.5000,1.2520,0.0000,0,0.9162,0,2,0.7949,-11.2451,0,0.4585
42,5,123,1,5,11.1311,0.047648,75,1.0000,1.2764,0.0000,0,0.8924,0,2,0.7436,-10.8689,0,0.5964
43,5,118,0,5,11.5603,0.047535,71,0.5000,1.2712,0.0000,0,0.9413,0,2,0.6923,-10.4397,0,0.4712
44,5,118,2,2,11.5495,0.047522,69,0.5000,1.2542,0.0000,0,0.8981,0,2,0.6667,-10.4505,0,0.4622
45,5,117,1,2,11.6583,0.047466,67,1.0000,1.2564,0.0000,0,0.8827,0,2,0.6410,-10.3417,0,0.5981
46,5,116,3,4,11.9197,0.048060,64,1.0000,1.3448,0.0000,0,0.8720,0,2,0.5897,-10.0803,0,0.5948
47,5,116,2,2,11.9327,0.048195,62,1.0000,1.3966,0.0000,1,0.8776,0,2,0.5897,-10.0673,0,0.5935
48,5,114,2,4,12.1336,0.048716,58,1.0000,1.4211,0.0000,0,0.9132,0,2,0.5641,-9.8664,0,0.5986
49,6,116,3,1,11.9854,0.049732,57,1.0000,1.3621,0.0000,0,0.9214,0,2,0.5385,-10.0146,0,0.5945
