tick,generation,population,births,deaths,average_energy,dna_variance,lineage_count,cooperation_rate,mean_cluster_size,multi_cell_boss_success_rate,energy_transfer_count,signal_synchrony,mutation_count,nonzero_mutation_generations,elite_lineage_survival,adaptation_gain,extinction_events,cdi
0,1,131,11,0,22.3065,0.053658,120,0.5000,1.2748,0.0000,0,1.0000,1,1,1.0000,0.3065,0,0.3950
1,1,134,3,0,22.2816,0.053402,120,0.5000,1.3582,0.0000,0,1.0000,0,1,1.0000,0.2816,0,0.4246
2,1,140,6,0,22.0043,0.052941,120,0.5000,1.2857,0.0000,0,1.0000,1,1,1.0000,0.0043,0,0.4485
3,2,144,4,0,21.7434,0.052684,120,1.0000,1.2639,0.0000,0,1.0000,1,1,1.0000,-0.2566,0,0.6107
4,2,147,3,0,21.7053,0.052775,120,1.0000,1.2721,0.0000,0,0.9793,0,1,1.0000,-0.2947,0,0.6359
5,2,149,3,1,21.8121,0.052745,119,1.0000,1.1879,0.0000,0,0.9808,0,1,0.9787,-0.1879,0,0.6651
6,2,152,3,0,21.7210,0.052647,119,1.0000,1.1579,0.0000,0,0.9793,0,1,0.9787,-0.2790,0,0.6911
7,2,155,4,1,21.7177,0.052409,118,1.0000,1.2452,0.0000,1,0.9568,0,1,0.9574,-0.2823,0,0.7134
8,3,160,5,0,21.5812,0.052196,118,1.0000,1.3375,0.0000,0,0.9674,0,1,0.9574,-0.4188,0,0.7133
9,3,161,1,0,22.0371,0.052134,118,1.0000,1.2609,0.0000,0,0.9505,0,1,0.9574,0.0371,0,0.7216
10,3,164,3,0,22.1962,0.051816,118,1.0000,1.2561,0.0000,0,0.9654,0,1,0.9574,0.1962,0,0.7268
11,4,169,5,0,22.0116,0.051648,118,1.0000,1.3314,0.0000,0,0.8427,0,1,0.9574,0.0116,0,0.7072
12,4,173,4,0,21.9764,0.051843,118,1.0000,1.3815,0.0000,0,0.8309,0,1,0.9574,-0.0236,0,0.7049
13,4,177,4,0,22.1135,0.051818,118,1.0000,1.4407,0.0000,0,0.7994,0,1,0.9574,0.1135,0,0.7025
14,4,181,4,0,22.1804,0.051831,118,1.0000,1.5304,0.0000,0,0.8123,0,1,0.9574,0.1804,0,0.7050
15,4,184,3,0,22.2648,0.052025,118,1.0000,1.4022,0.0000,0,0.8151,0,1,0.9574,0.2648,0,0.7078
16,5,189,5,0,21.9636,0.052026,118,1.0000,1.4868,0.0000,0,0.8774,1,2,0.9574,-0.0364,0,0.7106
17,5,190,2,1,22.2153,0.051844,117,1.0000,1.4316,0.0000,0,0.8950,0,2,0.9362,0.2153,0,0.7182
18,5,194,4,0,22.1150,0.051947,117,1.0000,1.4124,0.0000,0,0.8248,0,2,0.9362,0.1150,0,0.7083
19,5,197,3,0,22.2036,0.051997,117,1.0000,1.4162,0.0000,0,0.8305,0,2,0.9362,0.2036,0,0.7115
20,5,203,6,0,22.0512,0.051869,117,1.0000,1.3350,0.0000,0,0.8309,0,2,0.9362,0.0512,0,0.7073
21,5,206,3,0,22.1485,0.051938,117,1.0000,1.3592,0.0000,1,0.8195,0,2,0.9362,0.1485,0,0.7085
22,5,213,7,0,21.8536,0.051883,117,1.0000,1.4225,0.0000,0,0.8175,0,2,0.9362,-0.1464,0,0.7014
23,5,220,7,0,21.5869,0.051906,117,1.0000,1.5182,0.0000,2,0.8158,1,2,0.9362,-0.4131,0,0.6954
24,5,228,8,0,21.3699,0.051325,117,1.0000,1.4298,0.0000,1,0.7883,0,2,0.9362,-0.6301,0,0.6865
25,5,231,3,0,21.5599,0.051407,117,1.0000,1.5022,0.0000,0,0.7901,0,2,0.9362,-0.4401,0,0.6916
26,5,236,5,0,21.4871,0.051240,117,1.0000,1.5424,0.0000,0,0.8108,1,2,0.9362,-0.5129,0,0.6940
27,6,246,10,0,21.0301,0.051528,117,1.0000,1.5691,0.0000,0,0.7877,0,2,0.9362,-0.9699,0,0.6816
28,6,249,3,0,21.1353,0.051516,117,1.0000,1.5542,0.0000,1,0.7873,0,2,0.9362,-0.8647,0,0.6864
29,6,252,4,1,21.1892,0.051437,117,1.0000,1.5635,0.0000,0,0.8422,0,2,0.9362,-0.8108,0,0.6960
30,6,258,7,1,20.9739,0.051521,116,1.0000,1.4884,0.0000,0,0.8446,0,2,0.9362,-1.0261,0,0.6930
