tick,mutation_count,dna_variance
0,3,0.086445
1,6,0.086091
2,5,0.085255
3,16,0.084971
4,23,0.084788
5,17,0.085809
6,10,0.085934
7,21,0.086151
8,15,0.086689
9,19,0.086587
10,15,0.086791
11,21,0.086720
12,20,0.086378
13,18,0.086424
14,26,0.086374
15,32,0.086380
16,25,0.085898
17,23,0.085772
18,30,0.085869
19,21,0.085760
20,27,0.085956
21,32,0.085956
22,47,0.085872
23,31,0.086160
24,31,0.086242
25,36,0.086095
26,37,0.085847
27,43,0.085804
28,43,0.085821
29,37,0.085916
30,49,0.085831
31,36,0.086008
32,61,0.086047
33,57,0.086104
34,50,0.086197
35,64,0.085971
36,62,0.085967
37,72,0.085885
38,60,0.086047
39,95,0.086064
40,72,0.085913
41,102,0.085821
42,75,0.085753
43,113,0.085856
44,80,0.086007
45,107,0.086033
46,157,0.085979
47,138,0.085835
48,126,0.085847
49,140,0.085782
50,140,0.085730
51,106,0.085764
52,133,0.085776
53,152,0.085852
54,185,0.085841
55,173,0.085841
56,193,0.085834
57,188,0.085670
58,208,0.085624
59,194,0.085611
60,173,0.085594
61,146,0.085577
62,193,0.085528
63,196,0.085411
64,172,0.085451
65,156,0.085481
66,214,0.085515
67,174,0.085600
68,154,0.085576
69,163,0.085541
70,170,0.085567
71,174,0.085667
72,189,0.085752
73,176,0.085728
74,160,0.085697
75,167,0.085685
76,194,0.085666
77,189,0.085724
78,212,0.085745
79,206,0.085849
80,169,0.085853
81,210,0.085866
82,182,0.085893
83,163,0.085962
84,180,0.085989
85,171,0.086039
86,178,0.086054
87,176,0.086123
88,184,0.086066
89,186,0.086138
90,212,0.086150
91,197,0.086196
92,187,0.086182
93,142,0.086223
94,164,0.086256
95,209,0.086378
96,179,0.086405
97,174,0.086458
98,180,0.086433
99,169,0.086404
100,189,0.086514
101,193,0.086557
102,181,0.086540
103,176,0.086551
104,172,0.086621
105,188,0.086614
106,178,0.086686
107,157,0.086648
108,185,0.086622
109,176,0.086706
110,191,0.086826
111,173,0.086843
112,188,0.086820
113,173,0.086797
114,182,0.086829
115,189,0.086849
116,194,0.086850
117,176,0.086910
118,195,0.086938
119,162,0.087037
120,194,0.087188
121,146,0.087273
122,156,0.087343
123,183,0.087454
124,185,0.087580
125,196,0.087589
126,196,0.087680
127,198,0.087752
128,162,0.087870
129,165,0.087963
130,204,0.088060
131,196,0.088157
132,150,0.088252
133,151,0.088261
